detector,window,source,anomaly_type,base,seed,mag,stream,family,pr_auc,vus_pr,f1,precision,recall,mcc,pa_f1,nab,nab_low_fp,detected_frac,latency,fp_per_1k,threshold,anomaly_ratio
hampel,30,syn,drift,periodic,1,4.0,syn|drift|periodic|s1|m4.0,robust,0.7074597994583283,0.7110488394903955,0.8431372549019608,0.7288135593220338,1.0,0.20705406502281617,0.9885057471264368,-2809.834642546214,-5719.334642546214,1.0,0.0,261.6666666666667,0.002155820459429403,0.7166666666666667
hampel,30,syn,drift,periodic,2,4.0,syn|drift|periodic|s2|m4.0,robust,0.7938041293139277,0.8008118317087121,0.9062209842154132,0.8285229202037352,1.0,0.28525915726883155,0.991869918699187,-2804.334642546214,-5708.334642546214,1.0,0.0,163.33333333333334,0.0015964571242119312,0.8133333333333334
hampel,30,syn,drift,periodic,3,4.0,syn|drift|periodic|s3|m4.0,robust,0.7908540409759541,0.8005756283612374,0.9033457249070631,0.823728813559322,1.0,0.2688064609902745,0.9888097660223805,-2809.834642546214,-5719.334642546214,1.0,0.0,168.33333333333334,0.0023719802405586135,0.81
hampel,30,syn,drift,periodic,4,4.0,syn|drift|periodic|s4|m4.0,robust,0.3485331710792027,0.3583545258351301,0.5164690382081686,0.35315315315315315,0.9607843137254902,0.09751213950967647,0.9622641509433962,-2628.334642546214,-5356.334642546214,1.0,0.0,593.3333333333334,0.05172763586656103,0.34
hampel,30,syn,drift,periodic,0,6.0,syn|drift|periodic|s0|m6.0,robust,0.1964367391376866,0.20408317187437747,0.3243243243243243,0.1935483870967742,1.0,0.06618704413125229,0.9344262295081968,-2804.334642546214,-5708.334642546214,1.0,0.0,786.6666666666666,0.0008176172811272641,0.19
hampel,30,syn,drift,periodic,1,6.0,syn|drift|periodic|s1|m6.0,robust,0.708599026583542,0.7121687825441362,0.8431372549019608,0.7288135593220338,1.0,0.20705406502281617,0.9885057471264368,-2809.834642546214,-5719.334642546214,1.0,0.0,261.6666666666667,0.002155820459429403,0.7166666666666667
hampel,30,syn,drift,periodic,2,6.0,syn|drift|periodic|s2|m6.0,robust,0.7946761179270816,0.8016789333534035,0.9062209842154132,0.8285229202037352,1.0,0.28525915726883155,0.9928789420142421,-2804.334642546214,-5708.334642546214,1.0,0.0,163.33333333333334,0.0015964571242119312,0.8133333333333334
hampel,30,syn,drift,periodic,3,6.0,syn|drift|periodic|s3|m6.0,robust,0.7917697347249761,0.8014122643778495,0.9033457249070631,0.823728813559322,1.0,0.2688064609902745,0.9888097660223805,-2809.834642546214,-5719.334642546214,1.0,0.0,168.33333333333334,0.0023762711616958925,0.81
hampel,30,syn,drift,periodic,4,6.0,syn|drift|periodic|s4|m6.0,robust,0.35139004920033373,0.36120959728274715,0.5138539042821159,0.34576271186440677,1.0,0.09344186220713682,0.9645390070921985,-2809.834642546214,-5719.334642546214,1.0,0.0,638.3333333333334,0.0007311585910033807,0.34
hampel,30,syn,drift,periodic,0,9.0,syn|drift|periodic|s0|m9.0,robust,0.2186778106497675,0.22533757419029096,0.32664756446991405,0.1952054794520548,1.0,0.08016556518882005,0.946058091286307,-2776.834642546214,-5653.334642546214,1.0,0.0,778.3333333333334,0.011371714686365286,0.19
hampel,30,syn,drift,periodic,1,9.0,syn|drift|periodic|s1|m9.0,robust,0.7123567559283234,0.7158972056617201,0.8431372549019608,0.7288135593220338,1.0,0.20705406502281617,0.9896432681242807,-2809.834642546214,-5719.334642546214,1.0,0.0,261.6666666666667,0.002155820459429403,0.7166666666666667
hampel,30,syn,drift,periodic,2,9.0,syn|drift|periodic|s2|m9.0,robust,0.8004656859772059,0.8073643029060434,0.9062209842154132,0.8285229202037352,1.0,0.28525915726883155,1.0,-2804.334642546214,-5708.334642546214,1.0,0.0,163.33333333333334,0.0015964571242119312,0.8133333333333334
hampel,30,syn,drift,periodic,3,9.0,syn|drift|periodic|s3|m9.0,robust,0.7936377389872239,0.8030774338148398,0.9033457249070631,0.823728813559322,1.0,0.2688064609902745,0.9898167006109979,-2809.834642546214,-5719.334642546214,1.0,0.0,168.33333333333334,0.0023762711616958925,0.81
hampel,30,syn,drift,periodic,4,9.0,syn|drift|periodic|s4|m9.0,robust,0.3635273999089293,0.3729752898733094,0.5164690382081686,0.35315315315315315,0.9607843137254902,0.09751213950967647,0.9714285714285714,-2628.334642546214,-5356.334642546214,1.0,0.0,593.3333333333334,0.05172763586656103,0.34
hampel,30,syn,drift,trend,0,4.0,syn|drift|trend|s0|m4.0,robust,0.22942340937296185,0.23743573292922154,0.33043478260869563,0.19791666666666666,1.0,0.09886183566695658,0.9382716049382717,-2732.834642546214,-5565.334642546214,1.0,0.0,765.0,0.011595200847299075,0.19
hampel,30,syn,drift,trend,1,4.0,syn|drift|trend|s1|m4.0,robust,0.75082428057255,0.7554353252337225,0.8447937131630648,0.7312925170068028,1.0,0.22720177873270211,1.0,-2798.834642546214,-5697.334642546214,1.0,0.0,258.3333333333333,0.007486765228320063,0.7166666666666667
hampel,30,syn,drift,trend,2,4.0,syn|drift|trend|s2|m4.0,robust,0.8225317991315059,0.8338335500903713,0.9053803339517625,0.8271186440677966,1.0,0.2717533420854741,1.0,-2809.834642546214,-5719.334642546214,1.0,0.0,165.0,0.0007952409788863119,0.8133333333333334
hampel,30,syn,drift,trend,3,4.0,syn|drift|trend|s3|m4.0,robust,0.8171514100377013,0.826320164866441,0.9050279329608939,0.826530612244898,1.0,0.29496308640500796,1.0,-2798.834642546214,-5697.334642546214,1.0,0.0,165.0,0.0002792317641740548,0.81
hampel,30,syn,drift,trend,4,4.0,syn|drift|trend|s4|m4.0,robust,0.382130291293837,0.39181690246160256,0.5165394402035622,0.3487972508591065,0.9950980392156863,0.10559923932521921,1.0,-2765.834642546214,-5631.334642546214,1.0,0.0,626.6666666666666,0.008511500347430503,0.34
hampel,30,syn,drift,trend,0,6.0,syn|drift|trend|s0|m6.0,robust,0.2506901648422442,0.2580766750612766,0.33139534883720934,0.1986062717770035,1.0,0.10307777105268374,1.0,-2721.834642546214,-5543.334642546214,1.0,0.0,761.6666666666666,0.01334027599026526,0.19
hampel,30,syn,drift,trend,1,6.0,syn|drift|trend|s1|m6.0,robust,0.7519977676604395,0.7565653916286014,0.8436578171091446,0.7308347529812607,0.9976744186046511,0.21127646916569676,1.0,-2798.834642546214,-5697.334642546214,1.0,0.0,258.3333333333333,0.007973822085704097,0.7166666666666667
hampel,30,syn,drift,trend,2,6.0,syn|drift|trend|s2|m6.0,robust,0.8256222507149259,0.8367291503294466,0.9053803339517625,0.8271186440677966,1.0,0.2717533420854741,1.0,-2809.834642546214,-5719.334642546214,1.0,0.0,165.0,0.0007952409788863119,0.8133333333333334
hampel,30,syn,drift,trend,3,6.0,syn|drift|trend|s3|m6.0,robust,0.8199328110801773,0.8291121300252677,0.9050279329608939,0.826530612244898,1.0,0.29496308640500796,1.0,-2798.834642546214,-5697.334642546214,1.0,0.0,165.0,0.0002792317641740548,0.81
hampel,30,syn,drift,trend,4,6.0,syn|drift|trend|s4|m6.0,robust,0.3938171257686033,0.4032850105404494,0.5231958762886597,0.3548951048951049,0.9950980392156863,0.14211867126377484,1.0,-2716.334642546214,-5532.334642546214,1.0,0.0,611.6666666666666,0.021663841728787086,0.34
